Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
2004,7.74,,96684,Petrol,Individual,Manual,0
2012,26.3,36.77,114052,Petrol,Dealer,Manual,0
2015,7.07,7.46,185391,Petrol,Individual,Manual,0
2023,29.95,34.33,148098,Petrol,Individual,Manual,3
2008,17.09,42.28,97633,Petrol,Individual,Manual,3
2014,5.22,12.2,150502,Petrol,Trustmark Dealer,Automatic,0
2014,31.96,43.45,179857,Petrol,Dealer,Automatic,0
2022,1.96,2.63,2043700,CNG,Individual,Manual,0
2013,40.38,45.73,153930,Petrol,Individual,Manual,0
2009,5.07,6.8,117505,Diesel,,Manual,0
2003,17.14,32.64,85118,Petrol,Dealer,Automatic,2
2003,8.71,13.25,135404,Petrol,Dealer,Manual,0
2022,35.48,41.99,165943,Petrol,Individual,Automatic,0
2015,23.69,26.1,160242,Diesel,Dealer,Automatic,0
2011,4.05,7.63,110970,Diesel,Dealer,Manual,0
2005,20.19,28.98,64455,Petrol,Dealer,Manual,3
2009,10.23,20.99,101481,Petrol,Dealer,Manual,0
2008,22.5,33.41,39809,CNG,Dealer,Automatic,0
2010,19.88,44.21,96264,Diesel,Dealer,Manual,0
2011,19.33,21.06,81068,Petrol,Individual,Automatic,1
2007,11.41,15.2,40828,Petrol,Dealer,Automatic,0
2003,1.49,1.71,92181,Diesel,Individual,Manual,0
2021,27.68,,46329,Petrol,Individual,Manual,0
2012,10.36,20.71,195278,Diesel,Individual,Manual,0
2014,15.14,19.36,156780,,Dealer,Manual,0
2017,8.84,9.96,16956,Diesel,Individual,Manual,0
2011,15.82,22.07,64756,Petrol,Individual,Manual,0
2022,37.02,49.24,104250,Petrol,Dealer,Automatic,1
2019,9.73,15.59,81604,Petrol,Individual,Automatic,1
2019,23.43,30.39,88745,Diesel,Dealer,Manual,2
2022,24.12,39.05,63809,Diesel,Dealer,Manual,0
2014,24.97,37.71,1779280,Diesel,Individual,Manual,0
2009,7.81,17.11,5089,Diesel,Dealer,Automatic,0
2004,12.5,30.93,31788,Petrol,Individual,Manual,1
2005,18.8,43.69,93959,Petrol,Trustmark Dealer,Manual,0
2019,0.89,1.76,80535,Diesel,Dealer,Manual,0
2007,14.55,22.35,75478,Diesel,Dealer,Manual,0
2019,4.93,11.99,147912,Petrol,Individual,Automatic,1
2019,9.73,20.04,135322,Petrol,Individual,Manual,2
2019,17.74,21.38,56714,Petrol,Individual,Automatic,0
2004,30.79,37.59,199866,Petrol,Individual,Manual,1
2004,4.67,5.6,86358,Diesel,Individual,Manual,0
2007,23.69,26.12,81037,Diesel,Individual,Automatic,0
2003,13.34,28.65,56509,Diesel,Dealer,Automatic,0
2003,12.35,25.21,11768,Diesel,Individual,Manual,0
2021,21.51,36.86,125751,Petrol,Individual,Manual,1
2004,17.89,19.81,65684,Petrol,Individual,Manual,0
2023,39.09,47.3,121834,Diesel,Dealer,Automatic,0
2014,14.23,24.61,120678,Petrol,Individual,Automatic,0
2008,12.99,28.99,180071,Petrol,Individual,Manual,0
2006,30.63,41.45,19167,Diesel,,Manual,3
2013,7.84,14.49,182317,Diesel,Trustmark Dealer,Manual,1
2019,3.24,,49505,Diesel,Individual,Manual,2
2008,32.75,35.68,6117,Diesel,Individual,Manual,0
2007,17.64,24.67,41706,Petrol,Individual,Automatic,0
2022,40.8,44.93,142405,Petrol,Dealer,Automatic,1
2004,30.28,49.15,15922,Diesel,Individual,Manual,0
2008,15.39,20.56,85053,Diesel,Individual,Manual,0
2013,19.05,21.36,58861,Petrol,Individual,Manual,0
2018,15.18,20.99,157389,Petrol,Dealer,Manual,1
2018,12.48,16.9,3477,Diesel,Individual,Automatic,1
2003,31.2,39.3,87878,Petrol,Trustmark Dealer,Manual,0
2011,33.8,38.19,7137,Diesel,Dealer,Manual,1
2008,10.97,24.45,36644,Petrol,Dealer,Manual,1
2018,1.87,3.19,99346,Petrol,Individual,Manual,0
2005,10.0,16.17,129823,Diesel,Individual,Manual,1
2022,13.79,15.32,170669,Petrol,Dealer,Automatic,0
2006,37.72,40.74,140667,Petrol,Individual,Automatic,2
2021,2.47,5.29,157974,Diesel,Dealer,Manual,0
2005,18.84,40.48,47261,,,Manual,0
2021,30.89,33.79,109712,Petrol,Dealer,Manual,1
2022,20.76,36.89,89266,,Dealer,Automatic,0
2009,11.82,22.18,106153,Petrol,Individual,Manual,1
2022,14.4,34.31,138758,Petrol,Individual,Automatic,0
2011,17.01,30.84,175181,Petrol,Trustmark Dealer,Manual,0
2003,30.23,38.68,64039,Petrol,Dealer,Manual,0
2010,14.52,22.89,60737,Petrol,Individual,Automatic,1
2009,16.54,,183874,Petrol,Dealer,Automatic,0
2020,29.43,32.54,95649,Petrol,Dealer,Manual,2
2010,2.92,6.3,51029,Petrol,Dealer,Manual,0
2003,9.83,22.38,35654,CNG,Dealer,Manual,0
2013,42.24,48.63,198911,CNG,Individual,Automatic,0
2020,2.35,,182964,Petrol,Dealer,Automatic,3
2012,8.98,16.48,84032,Diesel,Individual,Manual,1
2005,9.48,16.39,197008,,Individual,Manual,0
2009,18.28,32.04,73988,Petrol,Dealer,Manual,2
2018,4.67,6.18,130694,Petrol,Trustmark Dealer,Manual,2
2018,13.79,31.8,27474,Petrol,Dealer,Automatic,0
2022,3.79,5.66,170958,Petrol,Trustmark Dealer,Manual,0
2019,2.68,5.65,98409,Petrol,Trustmark Dealer,Manual,0
2004,31.21,36.68,122483,CNG,Trustmark Dealer,Manual,0
2003,10.29,16.88,15426,Diesel,Individual,Automatic,0
2018,33.74,48.89,165407,Diesel,Dealer,Manual,2
2014,1.18,2.83,127689,Diesel,Dealer,Manual,0
2007,9.85,22.81,31541,Diesel,Individual,Manual,1
2007,5.04,6.54,121646,Petrol,Dealer,Automatic,2
2011,14.97,18.22,75916,Petrol,Individual,Manual,1
2011,39.45,49.91,126475,Petrol,Individual,Automatic,0
2005,35.88,44.55,78340,Diesel,Dealer,Manual,0
2021,1.54,3.37,92092,Petrol,Dealer,Manual,1
2018,22.35,28.6,137037,Diesel,Dealer,Manual,0
2018,16.37,32.74,197776,CNG,Individual,Manual,1
2005,5.12,11.27,123400,Petrol,Dealer,Automatic,0
2022,6.62,8.11,176196,Petrol,Individual,Manual,0
2003,40.29,45.31,148834,Diesel,Individual,Automatic,1
2022,38.49,48.47,161976,Petrol,Dealer,Manual,0
2013,41.82,49.6,68468,Petrol,Individual,Manual,2
2019,37.52,39.7,15213,Diesel,Individual,Automatic,1
2010,15.89,33.51,165033,Diesel,Individual,Automatic,1
2006,16.7,17.94,25839,Petrol,Trustmark Dealer,Automatic,0
2008,,,162014,Diesel,Dealer,Automatic,0
2010,4.13,4.87,31325,Petrol,,Automatic,1
2022,26.49,34.97,92583,Diesel,Individual,Manual,1
2005,28.15,39.45,11207,Diesel,Dealer,Manual,0
2018,32.66,41.5,96971,Petrol,Individual,Manual,0
2005,26.37,45.77,104318,Petrol,Individual,Automatic,1
2020,40.08,44.12,146886,CNG,Individual,Manual,1
2016,23.17,49.99,18684,Petrol,Dealer,Manual,1
2020,,12.96,168040,Petrol,Individual,Automatic,0
2004,16.02,38.4,4373,Petrol,Dealer,Manual,1
2005,16.33,29.74,91685,Petrol,Individual,Manual,1
2018,7.18,13.8,109033,Diesel,Individual,Manual,0
2011,,49.11,100687,Petrol,Individual,Manual,0
2006,30.17,45.0,16178,Diesel,Individual,Manual,0
2003,4.8,7.3,26956,Petrol,Dealer,Manual,0
2006,1.01,2.28,119225,,Dealer,Manual,1
2003,18.89,34.73,196755,Petrol,Dealer,Automatic,0
2016,28.28,30.6,41692,Petrol,Dealer,Automatic,0
2023,21.59,46.85,45119,CNG,Individual,Automatic,0
2018,7.08,12.47,92635,Petrol,Individual,Manual,0
2022,2.16,5.14,5991,Petrol,Dealer,Automatic,0
2010,6.6,13.7,6202,CNG,Individual,Manual,1
2009,1.51,1.93,128492,Diesel,Individual,Automatic,1
2005,1.66,2.76,21316,Diesel,Dealer,Automatic,1
2019,29.73,45.83,30695,Petrol,Dealer,Automatic,1
2003,8.88,18.25,135694,Petrol,Individual,Manual,0
2018,16.38,21.13,192809,Petrol,Dealer,Automatic,1
2014,1.55,1.9,116152,CNG,Individual,Automatic,1
2021,7.12,14.26,58132,CNG,Individual,Manual,1
2016,17.17,40.43,52200,Petrol,Trustmark Dealer,Manual,0
2008,13.85,31.16,173644,,,Manual,3
2008,28.89,37.94,127092,Petrol,Individual,Automatic,0
2015,10.87,22.91,149060,Petrol,Individual,Automatic,0
2021,10.87,16.18,96862,Petrol,Dealer,Manual,1
2010,11.93,24.66,198228,,Dealer,Manual,1
2004,8.31,16.83,147407,Diesel,Individual,Manual,1
2023,16.94,42.11,3602,Diesel,Trustmark Dealer,Automatic,2
2003,8.99,15.59,93295,Diesel,Individual,Manual,0
2017,14.98,33.33,56625,Diesel,Individual,Manual,2
2003,,7.71,86720,Diesel,Individual,Automatic,0
2007,25.26,34.66,107464,Petrol,Dealer,Manual,2
2018,27.55,45.75,81934,Petrol,Individual,Manual,0
2021,24.28,30.82,193327,Petrol,Dealer,Manual,0
2006,22.97,28.43,192333,Diesel,Dealer,Manual,1
2005,37.66,48.09,16903,CNG,Individual,Manual,0
2019,29.05,31.74,143381,Petrol,Individual,Manual,0
2019,7.28,,167555,CNG,Trustmark Dealer,Manual,0
2014,7.73,15.33,9070,Petrol,Dealer,Manual,0
2016,26.15,35.56,122378,Diesel,Dealer,Manual,1
2023,26.93,37.04,34217,Diesel,Individual,Manual,0
2008,10.8,15.87,130301,Diesel,Dealer,Manual,3
2005,7.21,17.92,95961,CNG,Dealer,Manual,0
2011,,49.56,62305,Petrol,Individual,Manual,1
2007,,6.0,16106,Petrol,Dealer,Manual,3
2019,12.17,20.83,34837,Petrol,Trustmark Dealer,Automatic,0
2016,3.78,4.06,5017,Petrol,Individual,Manual,0
2023,24.58,41.23,30420,CNG,Individual,Manual,0
2005,2.63,5.52,102123,Petrol,Individual,Manual,2
2003,21.07,34.03,14582,Diesel,Dealer,Manual,1
2022,2.53,,80403,Diesel,Individual,Manual,0
2023,,33.97,108686,Petrol,Dealer,Manual,0
2003,28.67,42.31,182623,Petrol,Dealer,Manual,1
2005,14.28,,82483,Petrol,Individual,Manual,0
2020,10.98,26.58,78468,Petrol,,Manual,0
2012,11.16,20.68,143057,Petrol,Dealer,Manual,1
2005,8.97,15.72,138447,Petrol,Dealer,Manual,3
2010,38.06,40.36,16805,Petrol,Dealer,Manual,0
2016,8.06,14.33,18107,Diesel,Individual,Automatic,0
2020,32.53,36.42,174473,Diesel,Individual,Manual,1
2017,6.3,11.1,74071,Diesel,Individual,Automatic,0
2004,,13.24,169660,Petrol,Trustmark Dealer,Automatic,3
2012,9.38,,148542,CNG,Dealer,Manual,2
2004,16.43,29.87,156153,Diesel,Dealer,Automatic,0
2019,21.83,23.27,7846,CNG,Dealer,Automatic,1
2010,28.91,37.51,70685,Petrol,Individual,Manual,1
2003,10.46,,30925,Diesel,Individual,Manual,0
2011,1.31,1.52,54989,Diesel,Trustmark Dealer,Manual,0
2013,28.05,39.05,114333,Petrol,Individual,Manual,0
2018,31.83,41.26,69748,Petrol,Dealer,Manual,0
2009,2.91,3.91,97080,Diesel,Dealer,Automatic,0
2012,23.71,30.93,98601,Petrol,Individual,Manual,0
2005,10.66,19.53,179769,Petrol,Individual,Automatic,0
2020,,39.9,93601,Petrol,,Manual,0
2015,31.83,43.85,23694,Diesel,Individual,Manual,2
2009,17.92,42.7,138114,CNG,Individual,Manual,0
2006,26.01,39.08,140085,Petrol,Individual,Manual,2
2015,12.38,14.18,32285,Diesel,Individual,Automatic,0
2022,27.36,40.78,43446,Petrol,Individual,Manual,0
2003,19.1,27.14,53679,Diesel,Dealer,Manual,0
2010,1.83,3.59,91184,Petrol,Dealer,Automatic,1
2016,19.57,,190140,Diesel,Dealer,Manual,1
2018,28.18,47.17,4754,Petrol,Dealer,Manual,1
2016,41.22,44.51,12187,Petrol,Trustmark Dealer,Manual,1
2014,5.69,6.01,169205,Petrol,Dealer,Manual,0
2021,338.6,37.46,115311,,Individual,Manual,1
2017,,40.48,67082,CNG,Individual,Manual,3
2004,8.34,14.3,168569,,Individual,Manual,1
2004,22.18,24.11,106654,Petrol,Individual,Manual,3
2021,30.19,35.84,112693,Diesel,Individual,Manual,0
2019,20.28,22.51,187108,Diesel,Individual,Automatic,1
2022,4.67,,180527,Petrol,Trustmark Dealer,Manual,1
2012,23.64,35.59,101272,Petrol,Dealer,Manual,1
2008,20.94,45.67,5516,Petrol,Dealer,Manual,1
2017,28.41,32.97,67795,Petrol,Individual,Automatic,0
2013,31.52,38.92,24376,Petrol,Dealer,Automatic,1
2007,8.03,18.56,90676,Petrol,Individual,Manual,2
2003,5.14,9.98,85853,Petrol,Trustmark Dealer,Manual,0
2010,22.96,32.5,69045,Diesel,Individual,Manual,3
2023,13.25,17.06,45968,CNG,Individual,Manual,0
2014,,43.14,144336,CNG,Dealer,Manual,0
2014,3.75,7.01,128560,Diesel,Dealer,Automatic,0
2007,11.26,22.24,150018,Diesel,Individual,Manual,1
2009,10.65,20.44,163707,Petrol,Individual,Manual,0
2006,42.56,46.96,27365,Diesel,,Manual,1
2008,6.75,8.5,156531,Petrol,Individual,Automatic,0
2015,1.19,1.48,64913,Diesel,Trustmark Dealer,Manual,0
2022,,12.67,97100,CNG,Individual,Automatic,0
2017,24.55,41.19,57350,Diesel,Dealer,Manual,0
2005,9.26,11.26,17588,Petrol,Individual,Automatic,0
2010,12.01,12.8,147112,Diesel,Trustmark Dealer,Manual,0
2022,5.78,7.37,149197,CNG,Dealer,Manual,0
2018,22.69,36.06,131804,Petrol,Individual,Manual,3
2015,3.49,4.39,162831,Diesel,Individual,Manual,1
2020,15.43,17.23,94606,Petrol,Dealer,Manual,0
2012,6.99,14.84,73585,Diesel,Individual,Manual,0
2021,15.39,28.2,169103,Petrol,Dealer,Manual,0
2019,33.32,36.79,57989,Petrol,Individual,Automatic,1
2021,24.95,27.11,5737,Diesel,Individual,Manual,3
2007,31.06,46.62,51257,Petrol,Individual,Manual,2
2023,28.86,47.62,82563,Petrol,Dealer,Automatic,0
2011,10.39,18.71,11015,Petrol,Dealer,Manual,0
2014,263.7,39.11,60991,Diesel,Individual,Manual,3
2023,34.0,37.2,37965,Petrol,Dealer,Manual,0
2003,21.59,44.76,147167,Diesel,Dealer,Automatic,0
2003,14.48,,147125,Diesel,,Manual,0
2017,24.33,26.99,115776,Petrol,Individual,Automatic,1
2004,12.65,21.37,163591,Diesel,Dealer,Manual,0
2018,,42.67,64386,Petrol,Individual,Manual,1
2010,7.53,12.26,128583,Petrol,,Manual,0
2015,10.74,12.75,109702,Petrol,,Manual,0
2023,18.1,19.26,53337,Petrol,Trustmark Dealer,Automatic,0
2003,7.54,12.29,155135,Petrol,Dealer,Automatic,0
2018,24.64,28.49,13573,Petrol,Individual,Automatic,0
2009,7.16,7.59,18248,Diesel,Dealer,Manual,0
2007,15.71,16.69,107550,Petrol,Individual,Manual,0
2005,29.22,45.76,120359,CNG,Trustmark Dealer,Manual,3
2014,14.04,,93192,Petrol,Dealer,Manual,0
2018,21.35,37.66,17941,Petrol,Dealer,Automatic,2
2021,3.76,6.56,79554,Petrol,Dealer,Automatic,0
2007,8.81,13.13,145160,Petrol,Individual,Automatic,0
2016,20.7,40.56,87211,Diesel,Individual,Manual,1
2007,30.37,38.39,17124,Petrol,Individual,Automatic,0
2017,13.84,19.92,4819,Petrol,Dealer,Manual,0
2019,42.7,47.77,96822,Petrol,Individual,Manual,0
2016,38.59,45.62,12164,Petrol,Individual,Manual,1
2022,27.8,48.15,33701,Petrol,Individual,Automatic,2
2007,14.9,21.97,116295,Petrol,Dealer,Manual,3
2014,8.68,10.68,108747,,Dealer,Manual,0
2018,16.05,,181509,Petrol,Trustmark Dealer,Manual,0
2018,14.42,34.55,164941,Petrol,Dealer,Automatic,0
2023,6.21,7.15,37603,Diesel,Individual,Automatic,1
2009,18.81,39.54,123857,Petrol,Individual,Manual,3
2006,1.67,1.88,5235,,Dealer,Automatic,0
2003,22.25,24.65,125558,Petrol,Dealer,Manual,1
2007,11.25,17.22,13015,Petrol,Individual,Manual,1
2012,,37.27,15601,Petrol,Dealer,Manual,1
2007,9.79,16.33,8509,Petrol,Dealer,Manual,1
2006,36.2,41.51,171556,Petrol,Individual,Manual,0
2004,25.74,30.15,2979800,Petrol,Trustmark Dealer,Automatic,1
2022,17.68,39.9,41975,Diesel,Individual,Automatic,0
2012,35.65,49.48,42520,Diesel,Individual,Manual,1
2021,25.78,34.28,36693,Petrol,Trustmark Dealer,Manual,0
2003,19.73,49.26,27959,Petrol,Individual,Manual,2
2007,2.26,2.41,1909,Diesel,Trustmark Dealer,Manual,1
2015,10.96,17.57,81041,Diesel,Individual,Manual,1
2006,4.3,6.28,104312,CNG,Individual,Automatic,0
2018,7.02,13.85,132190,Petrol,Individual,Manual,1
2018,30.99,42.11,160710,,Trustmark Dealer,Manual,2
2004,2.18,2.58,69649,Diesel,Individual,Manual,1
2019,19.13,26.49,110556,Diesel,Individual,Automatic,3
2022,23.99,28.79,105457,Petrol,Dealer,Manual,0
2014,22.86,28.5,81301,Diesel,Trustmark Dealer,Manual,1
2020,12.89,24.29,19480,Petrol,Individual,Manual,0
2005,25.42,39.74,8944,Petrol,Dealer,Manual,0
2003,3.63,7.54,36022,Petrol,Individual,Automatic,1
2003,6.86,16.22,91625,Petrol,Dealer,Manual,1
2021,13.55,31.17,49707,Diesel,Dealer,Automatic,0
2013,32.01,,187327,Diesel,Dealer,Manual,1
2007,,20.8,198841,Diesel,,Manual,0
2014,19.85,43.89,29708,Petrol,Dealer,Automatic,0
2005,12.48,21.36,163009,Petrol,Individual,Automatic,1
2003,9.6,20.74,59823,,Individual,Manual,0
2003,2.38,2.77,39399,Petrol,Individual,Manual,0
2010,18.85,28.01,125420,Diesel,Individual,Manual,0
2012,26.5,35.73,197737,Petrol,Individual,Automatic,1
2013,4.61,6.61,119431,Petrol,Dealer,Automatic,0
2014,12.63,15.97,150227,Petrol,Individual,Manual,0
2015,22.61,39.28,21838,Petrol,,Manual,0
2014,9.0,18.93,155226,Diesel,Individual,Manual,2
2016,5.26,12.84,45035,Petrol,Dealer,Automatic,0
2004,21.9,,31294,Diesel,Trustmark Dealer,Manual,0
2021,9.57,10.64,129557,Diesel,Dealer,Manual,0
2020,25.49,44.89,75233,Petrol,Individual,Automatic,0
2005,3.13,6.17,137700,Petrol,Dealer,Manual,0
2019,32.39,35.62,104217,Diesel,Individual,Manual,0
2010,11.67,25.48,177921,Petrol,Individual,Manual,0
2012,18.7,43.63,157486,,Dealer,Manual,0
2004,6.34,7.18,111367,Petrol,Dealer,Manual,0
2021,26.88,34.22,71254,Petrol,Dealer,Manual,0
2011,18.35,29.03,20060,CNG,Individual,Manual,0
2009,19.95,24.52,132168,Petrol,Dealer,Manual,1
2006,20.26,25.08,84883,Petrol,Individual,Manual,1
2023,15.35,36.38,96932,Petrol,Individual,Manual,0
2020,36.24,46.95,123455,Petrol,Dealer,Manual,0
2015,4.12,5.47,12058,Petrol,,Manual,1
2013,1.82,1.96,144290,Petrol,Individual,Manual,2
2006,37.71,40.48,2981080,Petrol,Individual,Automatic,1
2023,3.83,6.3,61325,CNG,Dealer,Manual,0
2006,357.5,49.35,91540,Petrol,Individual,Manual,0
2012,14.98,31.35,47622,Petrol,Individual,Manual,0
